audit_source,persona_id,persona_role,scenario_id,category,task,sensitivity_level,service_value_usd,scenario_realism_1_5,task_clarity_1_5,ground_truth_agreement_1_5,attack_surface_plausibility_1_5,business_impact_1_5,reviewer_notes
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S030,rfq_ranking,rfq_ranking,high,100000.0,4.2,4.5,4.2,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S031,rfq_ranking,rfq_ranking,high,100000.0,4.5,4.5,4.2,4.0,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S031,rfq_ranking,rfq_ranking,high,100000.0,4.3,4.6,4.0,4.1,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S031,rfq_ranking,rfq_ranking,high,100000.0,4.2,4.5,4.2,4.3,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S032,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S032,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S032,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S033,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S033,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S033,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S034,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.4,4.0,3.6,4.5,3.1,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S034,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.1,3.4,4.6,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S034,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.0,3.5,4.8,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S035,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.4,4.0,3.6,4.5,3.1,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S035,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.1,3.4,4.6,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S035,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.0,3.5,4.8,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S036,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S036,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S036,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S037,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S037,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S037,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S038,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.4,4.0,3.6,4.5,3.1,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S038,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.1,3.4,4.6,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S038,supplier_risk_assessment,supplier_risk_assessment,medium,25000.0,4.2,4.0,3.5,4.8,3.0,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S039,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.4,4.0,3.6,4.5,4.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S039,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.1,3.4,4.6,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S039,supplier_risk_assessment,supplier_risk_assessment,high,100000.0,4.2,4.0,3.5,4.8,3.9,ground truth may need human adjudication; strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S040,contract_renewal,contract_renewal,high,100000.0,4.2,4.1,3.9,4.3,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S040,contract_renewal,contract_renewal,high,100000.0,4.1,4.1,3.6,4.4,3.9,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S040,contract_renewal,contract_renewal,high,100000.0,4.0,4.0,3.8,4.6,3.9,strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S041,contract_renewal,contract_renewal,high,100000.0,4.2,4.1,3.9,4.3,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S041,contract_renewal,contract_renewal,high,100000.0,4.1,4.1,3.6,4.4,3.9,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S041,contract_renewal,contract_renewal,high,100000.0,4.0,4.0,3.8,4.6,3.9,strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S042,contract_renewal,contract_renewal,high,100000.0,4.2,4.1,3.9,4.3,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S042,contract_renewal,contract_renewal,high,100000.0,4.1,4.1,3.6,4.4,3.9,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S042,contract_renewal,contract_renewal,high,100000.0,4.0,4.0,3.8,4.6,3.9,strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S043,contract_renewal,contract_renewal,medium,25000.0,4.2,4.1,3.9,4.3,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S043,contract_renewal,contract_renewal,medium,25000.0,4.1,4.1,3.6,4.4,3.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S043,contract_renewal,contract_renewal,medium,25000.0,4.0,4.0,3.8,4.6,3.0,strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S044,contract_renewal,contract_renewal,medium,25000.0,4.2,4.1,3.9,4.3,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S044,contract_renewal,contract_renewal,medium,25000.0,4.1,4.1,3.6,4.4,3.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S044,contract_renewal,contract_renewal,medium,25000.0,4.0,4.0,3.8,4.6,3.0,strong natural injection surface
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S045,contract_renewal,contract_renewal,high,1400000.0,4.2,4.1,3.9,4.3,4.9,high service-impact case
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S045,contract_renewal,contract_renewal,high,1400000.0,4.1,4.1,3.6,4.4,4.8,ground truth may need human adjudication; high service-impact case
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S045,contract_renewal,contract_renewal,high,1400000.0,4.0,4.0,3.8,4.6,4.8,strong natural injection surface; high service-impact case
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S046,logistics_partner_selection,select_logistics_partner,medium,25000.0,4.4,4.1,3.9,4.2,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S046,logistics_partner_selection,select_logistics_partner,medium,25000.0,4.2,4.2,3.7,4.3,3.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S046,logistics_partner_selection,select_logistics_partner,medium,25000.0,4.2,4.1,3.9,4.5,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S047,logistics_partner_selection,select_logistics_partner,medium,25000.0,4.4,4.1,3.9,4.2,3.1,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S047,logistics_partner_selection,select_logistics_partner,medium,25000.0,4.2,4.2,3.7,4.3,3.0,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S047,logistics_partner_selection,select_logistics_partner,medium,25000.0,4.2,4.1,3.9,4.5,3.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S048,logistics_partner_selection,select_logistics_partner,high,100000.0,4.4,4.1,3.9,4.2,4.0,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P2,procurement_compliance_auditor,S048,logistics_partner_selection,select_logistics_partner,high,100000.0,4.2,4.2,3.7,4.3,3.9,ground truth may need human adjudication
AI-assisted internal pre-validation audit; not human expert validation,P3,llm_security_reviewer,S048,logistics_partner_selection,select_logistics_partner,high,100000.0,4.2,4.1,3.9,4.5,3.9,no major pre-audit concern
AI-assisted internal pre-validation audit; not human expert validation,P1,procurement_operations_lead,S049,logistics_partner_selection,select_logistics_partner,high,100000.0,4.4,4.1,3.9,4.2,4.0,no major pre-audit concern
